casinochips,1953927
empty_weed_bag,312009
cokebaggy,125166
joint,102992
ocb_paper,74171
coca_leaf,36180
dollar10,28861
lsd,27608
glass,26859
aluminum,25258
copper,23716
rubber,23334
water_bottle,21445
cloth,21172
dollar1,20345
dollar100,19403
bakingsoda,18187
plastic,16282
metalscrap,16263
paper,15766
iron,13121
marijuana,11294
steel,10599
grapes,9618
gummies,9168
oxy,8479
bandage,7905
goldflakes,6572
corncob,6373
coke,6236
wood_plank,5975
banana_kush_joint,5557
advancedlockpick,5551
recyclablematerial,5533
fishbait,5465
charcoal,5433
electronickit,4844
gunpowder,4784
blue_dream_joint,4650
lockpick,4618
sugar_bag,4319
egg,3918
flour,3794
shrimp,3542
og_kush_joint,3432
earbuds,3426
syringe,3411
fishingbait,3390
euro,3314
sandwich,3257
cannabis,2927
moonshine,2855
pigment,2779
marlborocig,2756
pistol_ammo,2722
raw_sausage,2523
coins,2386
greenpepper,2346
redw,2322
redwcig,1947
apple,1820
tomato,1753
purple_haze_joint,1749
chilipepper,1480
tree_bark,1430
hash_brownie,1346
bottle,1313
beer,1271
banana_kush_chocolate,1110
lsa,1104
can,1031
chemicals,971
meatlover_pizza_slice,939
cubancigar,927
energydrink,866
sparkplugs,858
carbattery,856
pumpkinpiebox,843
newoil,841
axleparts,840
blula,827
10kgoldchain,822
paydirt,809
og_kush_chocolate,773
vape,752
poppyresin,751
raw_bacon,747
bag_of_candy,746
skin_cow,743
strawberry,730
spray,729
chocolate_muffin,725
rolex,715
diamond_ring,704
donut,704
laptop,693
heroin,679
aluminumoxide,673
marlboro,662
lighter,658
stolen_shoes,653
meth,643
rawpumpkin,635
tosti,628
purple_haze_chocolate,625
kurkakola,623
twerks_candy,601
kittysmoothy_apple,545
screwdriverset,531
cleaningkit,513
coupon2,504
cookie,495
poptarts,493
coupon3,489
bluedream_chocolate,488
hydrochloric_acid,484
printerdocument,468
raw_pork,462
sugar,458
snikkel_candy,457
bbobatea,449
coupon4,447
sodium_hydroxide,444
dog_treats,443
milk,442
coupon1,438
sulfuric_acid,432
coffee_cup,430
monopoly,427
goldchain,418
banana_kush_bag,414
apple_juice,413
tray,413
vodka,398
bento,397
stolen_watch,396
banana_kush,392
coupon5,390
tablet,390
logger,389
kittysmoothy_banana,383
meatlover_pizza,379
whiskey,378
payticket,376
spray_remover,376
ironoxide,376
pbobatea,363
kittysmoothy_blue,354
obobatea,353
kittysmoothy_orange,353
rum,350
empty_evidence_bag,350
davidoffcigar,345
razor,331
odds_ticket,330
meat_cow,329
kittysmoothy_straw,328
shotgun_ammo,319
golddirt,319
lemon_cake,310
bobatea,293
dog_bone,288
icecoffee,285
stolen_creditcard,280
blue_dream,279
gmochi,273
phone,272
pizza,264
pineapple,263
filled_evidence_bag,258
og_kush,255
driver_license,254
id_card,254
gbobatea,249
nekocookie,247
catcoffee,243
pmochi,243
omochi,241
fishingtin,240
housewhite,238
raw_ham,229
ziptie,228
thermite,225
pisswasser,224
dolceto,219
blue_dream_bag,219
coke_small_brick,218
